Artikelcode;EANCode;Assortiment;Omschrijving;Voorraad
11654463;4026495914758;COMPONENTS;SCHWALBE X-ONE R EVO SUPRACE TRANSPARENT 28X1.30;0
11654466;4026495915076;COMPONENTS;SCHWALBE X-ONE R EVO SUPER RACE TRANS 27.5X1.30;0
11654467;4026495915465;COMPONENTS;SCHWALBE ICE SPIKER PRO PERF DD TLE ALU 29X2.60;0
11654469;4026495918909;COMPONENTS;SCHWALBE G-ONE OVERLAND 365 PERF REFLEX 700X40C;0
11654470;4026495918947;COMPONENTS;SCHWALBE G-ONE OVERLAND 365 PERF REFLEX 700X45C;0
11654471;4026495918985;COMPONENTS;SCHWALBE G-ONE OVERLAND 365 PERF REFLEX 28X2.00;0
11654472;4026495922944;COMPONENTS;SCHWALBE X-ONE RS EVO TLE 28X1.30/700X33C;8
11654473;4026495919821;COMPONENTS;SCHWALBE PRO ONE EVO SUPER RACE BLACK 20X1.10;0
11654474;4026495920582;COMPONENTS;SCHWALBE PRO ONE EVO SUPER RACE BLACK 26X1.10;0
11654477;4026495926683;COMPONENTS;SCHWALBE TACKY CHAN EVO SUPER DH ULTRA 29X2.40;0
11654478;4026495926720;COMPONENTS;SCHWALBE TACKY CHAN EVO SUPER DH ULTRA 27.5X2.40;0
11654479;4026495922869;COMPONENTS;SCHWALBE ONE PERF MICROSKIN BRONZE 700X30C;0
11654490;4026495921640;COMPONENTS;SCHWALBE G-ONE R EVO SUPER RACE TRANSPA 700X35C;10
11654492;4026495921688;COMPONENTS;SCHWALBE G-ONE R EVO SUPER RACE TRANSPA 27.5X1.70;0
11654520;4026495927567;COMPONENTS;SCHWALBE RICK XC PRO EVO TLR SPEED TRANSPARENT SKIN 29X2.25;10
11654521;4026495927604;COMPONENTS;SCHWALBE RICK XC PRO EVO TLR SPEED TRANSPARENT SKIN 29X2.40;10
11654522;4026495923347;COMPONENTS;SCHWALBE EDDY CURRENT FRONT EVO ULTRA SOFT 29X2.60;0
11654523;4026495923385;COMPONENTS;SCHWALBE EDDY CURRENT FRONT EVO ULTRA SOFT 29X2.40;0
11654531;4026495934404;COMPONENTS;SCHWALBE TACKY CHAN EVO SUPER TRAIL ULTRA 29X2.40;0
11654532;4026495934428;COMPONENTS;SCHWALBE TACKY CHAN EVO SUPER TRAIL SOFT 29X2.40;0
11654533;4026495934466;COMPONENTS;SCHWALBE TACKY CHAN EVO SUPGRAVITY ULTRA 29X2.40;0
11654536;4026495934589;COMPONENTS;SCHWALBE TACKY CHAN EVO SUPGRAVITY SOFT 27.5X2.40;0
11654568;4026495941785;COMPONENTS;SCHWALBE RICK XC PRO EVO TLR SPEEDGRIP BLACK 29X2.40;8
11654569;4026495941822;COMPONENTS;SCHWALBE RICK XC PRO EVO TLR SPEEDGRIP BLACK 29X2.25;8
11654585;4026495946384;COMPONENTS;SCHWALBE G-ONE SPEED PRO EVO TLR BLACK 29X2.35;0
11679-3S;4054571201324;CLOTHING;CUBE ATX WS STORM JACKET RED S (36);3
11679-4M;4054571201331;CLOTHING;CUBE ATX WS STORM JACKET RED M (38);3
11708;4250589449257;ACCESSORIES;RFR CHAINSTAY PROTECTION L BLACK;579
11709;4250589449264;ACCESSORIES;RFR CHAINSTAY PROTECTION UNIVERSAL;726
11716;4054571145031;SPAREPARTS;CUBE POWERTUBE COVERLOCK;34
11722;4250589461945;ACCESSORIES;CUBE CHAINSTAY PROTECTION NEOPRENE S/M BLACK;1936
11723;4250589461952;ACCESSORIES;CUBE CHAINSTAY PROTECTION NEOPRENE L BLACK;1784
11806-LARGE;4054571228000;COMPONENTS;ACID GRIPS TRAVEL COMFORT DARK BLUE  LARGE;0
11806-REGULAR;4054571227782;COMPONENTS;ACID GRIPS TRAVEL COMFORT DARK BLUE  REGULAR;0
11807-LARGE;4054571228024;COMPONENTS;ACID GRIPS TRAVEL COMFORT DUSTYGREY LARGE;0
11807-REGULAR;4054571228017;COMPONENTS;ACID GRIPS TRAVEL COMFORT DUSTYGREY REGULAR;0
11808-LARGE;4054571228048;COMPONENTS;ACID GRIPS TRAVEL DARK BLUE  LARGE;0
11808-REGULAR;4054571228031;COMPONENTS;ACID GRIPS TRAVEL DARK BLUE  REGULAR;0
11809-LARGE;4054571228062;COMPONENTS;ACID GRIPS TRAVEL DUSTYGREY LARGE;0
11809-REGULAR;4054571228055;COMPONENTS;ACID GRIPS TRAVEL DUSTYGREY REGULAR;0
11812-36;4054571155191;CLOTHING;CUBE SOCKS HIGH CUT ATX BLUE 36-39;1
11813-36;4250589415931;CLOTHING;CUBE SOCKS AM COLD C. BLK/ANTHRACITE 36-39;17
11820-36;4250589415818;CLOTHING;CUBE SOCKS RACE CUT BLACKLINE 36-39;48
11821-36;4250589415849;CLOTHING;CUBE SOCKS AM ACTION TEAM 36-39;44
11823-36;4250589417621;CLOTHING;CUBE SOCKS AM BLACKLINE 36-39;43
11824-36;4250589447673;CLOTHING;CUBE SOCKS ACTION BLACK/GREY/GREEN 36-39;8
11825-36;4250589449615;CLOTHING;CUBE SOCKS ACTION BLUE/RED/BLACK 36-39;15
11830-36;4250589454206;CLOTHING;CUBE SOCKS ROAD TEAMLINE 36-39;5
11831-36;4250589454237;CLOTHING;CUBE SOCKS ROAD BLACKLINE 36-39;0
11832-36;4250589454268;CLOTHING;CUBE SOCKS MOUNTAIN BLACKLINE 36-39;10
11833-36;4250589454299;CLOTHING;CUBE SOCKS MOUNTAIN BLUE/LIME 36-39;10
11835-36;4250589454350;CLOTHING;CUBE SOCKS MOUNTAIN BLACK/GREY/WHITE 36-39;4
11835-40;4250589454367;CLOTHING;CUBE SOCKS MOUNTAIN BLACK/GREY/WHITE 40-43;19
11835-44;4250589454374;CLOTHING;CUBE SOCKS MOUNTAIN BLACK/GREY/WHITE 44-47;25
11840-36;4250589488669;CLOTHING;CUBE SOCKS MOUNTAIN HIGH CUT BLACKLINE 36-39;5
11841-36;4250589488690;CLOTHING;CUBE SOCKS MOUNTAIN HIGH CUT OLIVE 36-39;5
11843-36;4250589489055;CLOTHING;CUBE SOCKS AFTER RACE HIGH CUT WHITE/BLACK 36-39;1
11843-40;4250589489062;CLOTHING;CUBE SOCKS AFTER RACE HIGH CUT WHITE/BLACK 40-43;4
11843-44;4250589489079;CLOTHING;CUBE SOCKS AFTER RACE HIGH CUT WHITE/BLACK 44-47;0
11844-36;4250589488751;CLOTHING;CUBE SOCKS AFTER RACE HIGH CUT BLACK/WHITE 36-39;0
11844-40;4250589488768;CLOTHING;CUBE SOCKS AFTER RACE HIGH CUT BLACK/WHITE 40-43;60
11844-44;4250589488775;CLOTHING;CUBE SOCKS AFTER RACE HIGH CUT BLACK/WHITE 44-47;73
11845-LARGE;4054571228086;COMPONENTS;ACID GRIPS HYBRID TOUR DARK BLUE  LARGE;0
11845-REGULAR;4054571228079;COMPONENTS;ACID GRIPS HYBRID TOUR DARK BLUE  REGULAR;0
11846-LARGE;4054571228109;COMPONENTS;ACID GRIPS HYBRID TOUR DARK RED LARGE;0
11846-REGULAR;4054571228093;COMPONENTS;ACID GRIPS HYBRID TOUR DARK RED REGULAR;0
11847-LARGE;4054571228123;COMPONENTS;ACID GRIPS HYBRID PERFORM ACTIONTEAM BLUE LARGE;0
11847-REGULAR;4054571228116;COMPONENTS;ACID GRIPS HYBRID PERFORM ACTIONTEAM BLUE REGULAR;0
11848-LARGE;4054571228352;COMPONENTS;ACID GRIPS HYBRID PERFORM TRAIL MOTION OLIVE LARGE;0
11848-REGULAR;4054571228130;COMPONENTS;ACID GRIPS HYBRID PERFORM TRAIL MOTION OLIVE REGULAR;0
11849-LARGE;4054571228376;COMPONENTS;ACID GRIPS HYBRID PERFORM TRANSLUCENT BLACK/OILSLICK LARGE;0
11849-REGULAR;4054571228369;COMPONENTS;ACID GRIPS HYBRID PERFORM TRANSLUCENT BLACK/OILSLICK REGULAR;0
11855;4250589418055;CLOTHING;CUBE WLS BELT BERRY/VIOLETT;11
11856;4250589418062;CLOTHING;CUBE WLS BELT PETROL/WHITE;3
11861;4250589419014;COMPONENTS;CUBE BAR TAPE CUBE EDITION WHITE/BLUE;193
11874100;4026495622677;COMPONENTS;SCHWALBE RIMTAPE POLYURETHANE 20-559 SUPER H.P. (PAIR);0
11874300;4026495622738;COMPONENTS;SCHWALBE RIMTAPE POLYURETHANE 16-622 SUPER H.P. (PAIR);0
11874330;4026495622752;COMPONENTS;SCHWALBE RIMTAPE POLYURETHANE 18-622 SUPER H.P. (PAIR);0
11874350.01;4026495760065;COMPONENTS;SCHWALBE RIMTAPE POLYURETHANE 20-622 SUPER H.P. (PAIR);0
11874352.01;4026495760089;COMPONENTS;SCHWALBE RIMTAPE POLYURETHANE 22-622 SUPER H.P. (PAIR);0
119017;4051731119017;WHEELS;SYNTACE X12 AXLE 148MM (BOOST) WITHOUT INSERT;51
11907-2S;4250589404461;CLOTHING;CUBE GLOVES FRITZZ BLACKLINE LONGFINGER S (7);4
11908-2S;4250589404515;CLOTHING;CUBE GLOVES RACE TEAMLINE LONGFINGER S (7);9
11915-2S;4250589404904;CLOTHING;CUBE GLOVES NATURAL FIT BLKLINE SHORTF. S (7);35
11916-2S;4250589404959;CLOTHING;CUBE GLOVES NATURAL FIT LTD SHORTF. BLK/RED S;29
11918-4L;4250589405062;CLOTHING;CUBE GLOVES WLS NATURAL FIT LTD SF. WHT/GRY/BL L;1
11918-5XL;4250589405079;CLOTHING;CUBE GLOVES WLS NATURAL FIT LTD SF. WHT/GRY/BL XL;7
11923-L;4250589414613;CLOTHING;CUBE GLOVES WLS NATURAL FIT SUN LF. BLK/B. BLUE L;9
11923-XL;4250589414620;CLOTHING;CUBE GLOVES WLS NATURAL FIT SUN LF. BLK/B. BL. XL;6
11926-S;4250589415078;CLOTHING;CUBE GLOVES RACE ARMOURGEL LONGF. ACTION T. S (7);21
11929-S;4250589415184;CLOTHING;CUBE GLOVES NATURAL FIT TOUCH LF LIME/BLK S (7);9
11937-3S;4250589448397;CLOTHING;RFR GLOVES COMFORT SHORT FINGER BLACK S (7);10
11938-3S;4250589448441;CLOTHING;RFR GLOVES COMFORT L.F. BLK/ANTHRACITE S (7);4
11938-5L;4250589448465;CLOTHING;RFR GLOVES COMFORT L.F. BLK/ANTHRACITE L (9);20
11940-3S;4250589448540;CLOTHING;RFR GLOVES COMFORT A.S. L.F. BLK/WHITE S (7);9
11941-3S;4250589448595;CLOTHING;RFR GLOVES PRO SHORT FINGER BLACK S (7);27
11941-5L;4250589448618;32;RFR GLOVES PRO SHORT FINGER BLACK L (9);1
11941-6XL;4250589448625;CLOTHING;RFR GLOVES PRO SHORT FINGER BLACK XL (10);51
11942-4M;4250589448656;CLOTHING;RFR GLOVES PRO LONG FINGER BLACK M (8);24
11943-3S;4250589448694;CLOTHING;RFR GLOVES PRO MULTISP. LONG FINGER BLK S (7);2
11943-6XL;4250589448724;CLOTHING;RFR GLOVES PRO MULTISP. LONG FINGER BLK XL (10);4
11945-2XS;4250589458952;CLOTHING;CUBE GLOVES PERFORMANCE LONG FINGER BLACKLINE XS;3
11946-2XS;4250589458969;CLOTHING;CUBE GLOVES PERFORMANCE L/F ACTION TEAM XS;4
11950-2XS;4250589458938;CLOTHING;CUBE GLOVES PERFORMANCE S/F BLUE/NECTARINE XS;17
11950-3S;4250589456866;CLOTHING;CUBE GLOVES PERFORMANCE S/F BLUE/NECTARINE S;1
11950-7XXL;4250589456903;CLOTHING;CUBE GLOVES PERFORMANCE S/F BLUE/NECTARINE XXL;10
11953-3S;4250589457016;CLOTHING;CUBE NATURAL FIT GLOVES LONG FINGER GREY/RED S;13
11958-6XL;4250589457276;CLOTHING;CUBE NATURAL FIT WS GLOVES SHORT FINGER BLK/PIN XL;5
11962-3S;4250589457429;CLOTHING;CUBE NATURAL FIT GLOVES X-SHELL L/F BLKLINE S;1
11965-6XL;4250589457566;CLOTHING;CUBE PERFORMANCE WS GLOVES S/F TEAM WS XL;11
1197;4260086851972;COMPONENTS;SQLAB PEDALS 511 RACE CLIPLESS SHORT;49
11972-3XS;4250589478028;CLOTHING;CUBE GLOVES PERFORMANCE LF X ACTION TEAM XS (6);7
1198;4260086851989;COMPONENTS;SQLAB PEDALS 511 RACE CLIPLESS STANDARD;130
11981-0XS;4054571176882;CLOTHING;CUBE VERTEX BAGGY PANTS X ACTIONTEAM BLUE XS;0
11981-1S;4054571176899;CLOTHING;CUBE VERTEX BAGGY PANTS X ACTIONTEAM BLUE S;0
11981-2M;4054571176905;CLOTHING;CUBE VERTEX BAGGY PANTS X ACTIONTEAM BLUE M;1
11981-3L;4054571176912;CLOTHING;CUBE VERTEX BAGGY PANTS X ACTIONTEAM BLUE L;0
11981-4XL;4054571176929;CLOTHING;CUBE VERTEX BAGGY PANTS X ACTIONTEAM BLUE XL;0
11981-5XXL;4054571176936;CLOTHING;CUBE VERTEX BAGGY PANTS X ACTIONTEAM BLUE XXL;0
11981-6XXXL;4054571176943;CLOTHING;CUBE VERTEX BAGGY PANTS X ACTIONTEAM BLUE XXXL;0
11983-2XS;4054571199980;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S GREEN XS;0
11983-3S;4054571199997;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S GREEN S;0
11983-4M;4054571200006;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S GREEN M;0
11983-5L;4054571200013;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S GREEN L;0
11983-6XL;4054571200020;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S GREEN XL;0
11983-7XXL;4054571200037;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S GREEN XXL;0
11983-8XXXL;4054571200044;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S GREEN XXXL;0
11984-2XS;4054571200051;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S RED XS;0
11984-3S;4054571200068;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S RED S;0
11984-4M;4054571200075;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S RED M;0
11984-5L;4054571200082;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S RED L;0
11984-6XL;4054571200099;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S RED XL;0
11984-7XXL;4054571200105;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S RED XXL;0
11984-8XXXL;4054571200112;CLOTHING;CUBE JERSEY HALF ZIP CMPT S/S RED XXXL;0
11985-36;4054571193735;CLOTHING;CUBE SOCKS HIGH CUT BLACKLINE WHITE 36-39;0
11985-40;4054571193742;CLOTHING;CUBE SOCKS HIGH CUT BLACKLINE WHITE 40-43;3
11985-44;4054571193759;CLOTHING;CUBE SOCKS HIGH CUT BLACKLINE WHITE 44-47;1
11989-1XXS;4054571177230;CLOTHING;CUBE ORGANIC HOODIE ROOKIE LIGHT PINK XXS (86/92);0
11989-2XS;4054571177247;CLOTHING;CUBE ORGANIC HOODIE ROOKIE LIGHT PINK XS (98/104);0
11989-3S;4054571177254;CLOTHING;CUBE ORGANIC HOODIE ROOKIE LIGHT PINK S (110/116);0
11989-4M;4054571177261;CLOTHING;CUBE ORGANIC HOODIE ROOKIE LIGHT PINK M (122/128);0
11989-5L;4054571177278;CLOTHING;CUBE ORGANIC HOODIE ROOKIE LIGHT PINK L (134/140);0
11989-6XL;4054571177285;CLOTHING;CUBE ORGANIC HOODIE ROOKIE LIGHT PINK XL (146/152);0
11989-7XXL;4054571177292;CLOTHING;CUBE ORGANIC HOODIE ROOKIE LIGHT PINK XXL 158/164;0
11990-1S;4054571234674;CLOTHING;CUBE ATX ROUND NECK JERSEY TM S/S OLIVE/GREY S;2
11990-2M;4054571234681;CLOTHING;CUBE ATX ROUND NECK JERSEY TM S/S OLIVE/GREY M;4
11990-3L;4054571234698;CLOTHING;CUBE ATX ROUND NECK JERSEY TM S/S OLIVE/GREY L;5
11990-4XL;4054571234704;CLOTHING;CUBE ATX ROUND NECK JERSEY TM S/S OLIVE/GREY XL;2
11991-2XS;4054571199065;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S BLACK XS;0
11991-3S;4054571199072;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S BLACK S;0
11991-4M;4054571199089;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S BLACK M;0
11991-5L;4054571199096;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S BLACK L;0
11991-6XL;4054571199102;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S BLACK XL;0
11991-7XXL;4054571199119;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S BLACK XXL;0
11991-8XXXL;4054571199126;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S BLACK XXXL;0
11992-36;4054571193674;CLOTHING;CUBE SOCKS LOW CUT BLACKLINE WHITE 36-39;0
11992-40;4054571193681;CLOTHING;CUBE SOCKS LOW CUT BLACKLINE WHITE 40-43;0
11992-44;4054571193698;CLOTHING;CUBE SOCKS LOW CUT BLACKLINE WHITE 44-47;0
11993-36;4054571193704;CLOTHING;CUBE SOCKS MID CUT BLACKLINE WHITE 36-39;4
11993-40;4054571193711;CLOTHING;CUBE SOCKS MID CUT BLACKLINE WHITE 40-43;1
11993-44;4054571193728;CLOTHING;CUBE SOCKS MID CUT BLACKLINE WHITE 44-47;2
11994-1XXS;4054571177308;CLOTHING;CUBE PADDED VEST ROOKIE ORANGE XXS (86/92);0
11994-2XS;4054571177315;CLOTHING;CUBE PADDED VEST ROOKIE ORANGE XS (98/104);0
11994-3S;4054571177322;CLOTHING;CUBE PADDED VEST ROOKIE ORANGE S (110/116);0
11994-4M;4054571177339;CLOTHING;CUBE PADDED VEST ROOKIE ORANGE M (122/128);0
11994-5L;4054571177346;CLOTHING;CUBE PADDED VEST ROOKIE ORANGE L (134/140);0
11994-6XL;4054571177353;CLOTHING;CUBE PADDED VEST ROOKIE ORANGE XL (146/152);0
11994-7XXL;4054571177360;CLOTHING;CUBE PADDED VEST ROOKIE ORANGE XXL (158/164);0
11995-1XXS;4054571177377;CLOTHING;CUBE HOODIE ADVANCED ROOKIE ANTHRACITE XXS (86/92);0
11995-2XS;4054571177384;CLOTHING;CUBE HOODIE ADVANCED ROOKIE ANTHRACITE XS (98/104);0
11995-3S;4054571177391;CLOTHING;CUBE HOODIE ADVANCED ROOKIE ANTHRACITE S (110/116);0
11995-4M;4054571177407;CLOTHING;CUBE HOODIE ADVANCED ROOKIE ANTHRACITE M (122/128);0
11995-5L;4054571177414;CLOTHING;CUBE HOODIE ADVANCED ROOKIE ANTHRACITE L (134/140);0
11995-6XL;4054571177421;CLOTHING;CUBE HOODIE ADVANCED ROOKIE ANTHRACITE XL 146/152;0
11995-7XXL;4054571177438;CLOTHING;CUBE HOODIE ADVANCED ROOKIE ANTHRACITE XXL 158/164;0
11996-1XXS;4054571177445;CLOTHING;CUBE ATX RAIN JACKET ROOKIE YELLOW XXS (86/92);0
11996-2XS;4054571177452;CLOTHING;CUBE ATX RAIN JACKET ROOKIE YELLOW XS (98/104);0
11996-3S;4054571177469;CLOTHING;CUBE ATX RAIN JACKET ROOKIE YELLOW S (110/116);0
11996-4M;4054571177476;CLOTHING;CUBE ATX RAIN JACKET ROOKIE YELLOW M (122/128);0
11996-5L;4054571177483;CLOTHING;CUBE ATX RAIN JACKET ROOKIE YELLOW L (134/140);0
11996-6XL;4054571177490;CLOTHING;CUBE ATX RAIN JACKET ROOKIE YELLOW XL (146/152);0
11996-7XXL;4054571177506;CLOTHING;CUBE ATX RAIN JACKET ROOKIE YELLOW XXL (158/164);0
11997-2XS;4054571199133;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S WHITE XS;0
11997-3S;4054571199140;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S WHITE S;0
11997-4M;4054571199157;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S WHITE M;0
11997-5L;4054571199164;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S WHITE L;0
11997-6XL;4054571199171;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S WHITE XL;0
11997-7XXL;4054571199188;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S WHITE XXL;0
11997-8XXXL;4054571199195;CLOTHING;CUBE ROAD/XC JERSEY TEAMLINE S/S WHITE XXXL;0
11998-1XXS;4054571177582;CLOTHING;CUBE VERTEX L.WEIGHT BAGGY ROOKIE BLK XXS (86/92);0
11998-2XS;4054571177599;CLOTHING;CUBE VERTEX L.WEIGHT BAGGY ROOKIE BLK XS (98/104);0
11998-3S;4054571177605;CLOTHING;CUBE VERTEX L.WEIGHT BAGGY ROOKIE BLK S (110/116);0
11998-4M;4054571177612;CLOTHING;CUBE VERTEX L.WEIGHT BAGGY ROOKIE BLK M (122/128);0
11998-5L;4054571177629;CLOTHING;CUBE VERTEX L.WEIGHT BAGGY ROOKIE BLK L (134/140);0
11998-6XL;4054571177636;CLOTHING;CUBE VERTEX L.WEIGHT BAGGY ROOKIE BLK XL 146/152;0
11998-7XXL;4054571177643;CLOTHING;CUBE VERTEX L.WEIGHT BAGGY ROOKIE BLK XXL 158/164;0
11999;4054571235855;CLOTHING;CUBE FREERIDE CAP ROOKIE X ACTIONTEAM BLACK/BLUE;0
12000-0XS;4054571180711;CLOTHING;CUBE ORGANIC T-SHIRT SCRIPT GTY FIT WHITE XS;0
12000-1S;4054571180728;CLOTHING;CUBE ORGANIC T-SHIRT SCRIPT GTY FIT WHITE S;0
12000-2M;4054571180735;CLOTHING;CUBE ORGANIC T-SHIRT SCRIPT GTY FIT WHITE M;7
12000-3L;4054571180742;CLOTHING;CUBE ORGANIC T-SHIRT SCRIPT GTY FIT WHITE L;23
12000-4XL;4054571180759;CLOTHING;CUBE ORGANIC T-SHIRT SCRIPT GTY FIT WHITE XL;12
12000-5XXL;4054571180766;CLOTHING;CUBE ORGANIC T-SHIRT SCRIPT GTY FIT WHITE XXL;0
12000-6XXXL;4054571180773;CLOTHING;CUBE ORGANIC T-SHIRT SCRIPT GTY FIT WHITE XXXL;0
12002;4054571154958;ACCESSORIES;CUBE MANUAL BAG INCL. TOOL BAG BLACK;1235
12007;4054571221988;ACCESSORIES;CUBE MANUAL BAG S BLACK S;0
12008;4054571221995;ACCESSORIES;CUBE MANUAL BAG L  BLACK L;0
12012;4250589449455;ACCESSORIES;CUBE SADDLE BAG PRO XS BLACK;187
12013;4250589449462;ACCESSORIES;CUBE SADDLE BAG PRO S BLACK;537
12014;4250589449479;ACCESSORIES;CUBE SADDLE BAG PRO M BLACK;267
12016;4250589449493;ACCESSORIES;CUBE SADDLE BAG CLICK XS BLACK;981
12017;4250589449509;ACCESSORIES;CUBE SADDLE BAG CLICK S BLACK;705
12019;4250589449646;ACCESSORIES;CUBE SADDLE BAG CLICK M BLACK;679
12020;4250589449653;ACCESSORIES;CUBE SADDLE BAG CLICK L BLACK;297
12021;4054571143358;ACCESSORIES;RFR REAR CARRIER BAG TOURER 20/2 BLACK;17
12022;4054571143365;ACCESSORIES;RFR REAR CARRIER BAG TOURER 10/2 BLACK;16
12027;4250589430231;ACCESSORIES;CUBE HYBRID BAG RAIL;37
12030;4054571151322;ACCESSORIES;CUBE BIKE COVER BLACK;124
12037;4250589430842;ACCESSORIES;CUBE PANNIERS TRAVEL ANTHRAZIT;249
12040;4054571157041;ACCESSORIES;ACID PANNIERS CITY 15 BLACK;479
12041;4054571157058;ACCESSORIES;ACID PANNIERS CITY 20 BLACK;568
12048;4054571229816;SPAREPARTS;CUBE BOSCH CONNECT MODULE BES3 UPGRADE KIT;3
12051;4054571229823;SPAREPARTS;CUBE BOSCH INTUVIA 100 BES 3 UPGRADE KIT;4
12066;4047025498838;SPAREPARTS;CUBE BOSCH CHARGER 2A BLACK;2
12095;4250589469453;ACCESSORIES;CUBE BACKPACK PURE 4RACE BLACK;75
12096;4250589469460;ACCESSORIES;CUBE BACKPACK PURE 4RACE RED;18
12100;4250589469330;ACCESSORIES;CUBE BACKPACK EDGE TRAIL BLACK;88
12101;4250589469347;ACCESSORIES;CUBE BACKPACK EDGE TRAIL RED;41
12102;4250589469354;ACCESSORIES;CUBE BACKPACK EDGE TWENTY BLACK;3
12104;4250589469378;ACCESSORIES;CUBE BACKPACK OX 25+ BLACK;39
12106;4250589469392;ACCESSORIES;CUBE BACKPACK PROTECTION PAD BLACK;23
12109;4250589469422;ACCESSORIES;CUBE BACKPACK EDGE TRAIL BLUE;2
12111669;8720682570562;COMPONENTS;ERE EXPLORATOR T SADDLE M BLACK/BLACK;0
12111670;8720682570579;COMPONENTS;ERE EXPLORATOR SADDLE M BLACK/BLACK;0
12112;4250589468289;ACCESSORIES;CUBE RAINCOVER SMALL;38
12114;4054571221568;ACCESSORIES;CUBE BACKPACK PURE 6 ROOKIE BLUE/BLACK;4
12115;4054571221575;ACCESSORIES;CUBE HIP BAG PURE 2 BLACK;14
12116;4054571238047;ACCESSORIES;CUBE BACKPACK PURE 6 ROOKIE RED/BLACK;4
12117;4250589484456;ACCESSORIES;CUBE BACKPACK EDGE TRAIL X ACTION TEAM;30
12118;4250589484463;ACCESSORIES;CUBE BACKPACK EDGE HYBRID BLACK/LIME;53
12119;4054571238894;ACCESSORIES;CUBE GEAR BAG BACKPACK 1 BLACK;11
12121145;8719325648843;WHEELS;ERE EXPLORATOR GC30 FRONT WHEEL BLACK/WHITE;0
12121146;8719325648850;WHEELS;ERE EXPLORATOR GC30 REAR WHEEL BLACK/WHITE SHI;1
12121406;8719992975303;WHEELS;ERE EXPLORATOR GC45 FRONT WHEEL BLACK/BLACK;0
12121407;8719992975310;WHEELS;ERE EXPLORATOR GC45 REAR WHEEL BLACK/BLACK SHI;0
12121441;8719325647266;WHEELS;ERE EXPLORATOR II GCR40 ALU DISC WHEELSET SHI;30
12121442;8719325647273;WHEELS;ERE EXPLORATOR II GCR40 ALU DISC WHEELSET XDR;22
12121449;8720682570272;WHEELS;ERE EXPLORATOR II GCR40 ALU DISC WHEELSET CAMPA;2
12121464;8720682571309;WHEELS;ERE EXPLORATOR II GCR40 FRONT WHEEL;2
12121465;8720682571316;WHEELS;ERE EXPLORATOR II GCR40 REAR WHEEL HG11;2
12121466;8720682571323;WHEELS;ERE EXPLORATOR II GCR40 REAR WHEEL SRAM XDR;2
12122;4054571239327;ACCESSORIES;CUBE RAINCOVER SMALL GREY REFLECTIVE;0
12123;4054571239334;ACCESSORIES;CUBE RAINCOVER LARGE GREY REFLECTIVE;4
12124;4054571239303;ACCESSORIES;CUBE HYDRATION BLADDER BACKPACK 2 L TRANSPARENT;84
12125;4054571239310;ACCESSORIES;CUBE HYDRATION BLADDER HIP BAG 1.5 TRANSPARENT;31
12127;4054571240194;ACCESSORIES;CUBE HIP BAG VERTEX 3 TM OLIVE;5
12128;4054571240200;ACCESSORIES;CUBE HIP BAG VERTEX 3 X ACTIONTEAM ORANGE;15
12129;4054571240217;ACCESSORIES;CUBE HIP BAG VERTEX 3 LIGHT BLUE;10
12130;4054571191182;ACCESSORIES;CUBE HIPBELT EXTENSION BLACK ONESIZE;20
12131;4054571240248;ACCESSORIES;CUBE HIP BAG ATX 1 BLACK;8
12131109;8719325648416;COMPONENTS;ERE EXPLORATOR BAR TAPE WHITE;135
12131757;8719992975389;COMPONENTS;ERE EXPLORATOR BAR TAPE BLACK;135
12131759;8719992975402;COMPONENTS;ERE EXPLORATOR BAR TAPE SIGNAL YELLOW;58
12131760;8719992975419;COMPONENTS;ERE EXPLORATOR BAR TAPE MOSS GREEN;73
12132;4054571157942;ACCESSORIES;CUBE BACKPACK VERTEX 16 BLACK;6
12133;4054571158390;ACCESSORIES;CUBE BACKPACK PURE 4 BLACK;18
